"","species","hw.raw","hw.logit","time"
"793","D","0.167744549","-1.67510640806668","trough"
"794","D","0.214044706","-1.36120390405675","trough"
"795","D","0.204990176","-1.41790530326333","trough"
"796","D","0.262456824","-1.08555182409703","trough"
"797","D","0.148591677","-1.82703660030353","trough"
"798","D","0.176906704","-1.6077106382691","trough"
"799","D","0.179432136","-1.58965717127775","trough"
"800","D","0.131912612","-1.97444162644457","trough"
"801","D","0.164137943","-1.70250835787034","trough"
"802","D","0.151443331","-1.8033535382434","trough"
"803","D","0.21999223","-1.32497225082279","trough"
"804","D","0.148365462","-1.82893275090832","trough"
"805","D","0.161085258","-1.72611445960404","trough"
"806","D","0.161680322","-1.72148238213209","trough"
"807","D","0.155826601","-1.76771596501108","trough"
"808","D","0.160124393","-1.73362575697433","trough"
"809","D","0.177175971","-1.6057753939427","trough"
"810","D","0.203672305","-1.42632264800131","trough"
"811","D","0.175692261","-1.61647010745134","trough"
"812","D","0.140783131","-1.89405219287899","trough"
"813","D","0.164298416","-1.70127806619075","trough"
"814","D","0.152276214","-1.79651178269535","trough"
"815","D","0.189302152","-1.52108262971045","trough"
"816","D","0.176738485","-1.60892090953527","trough"
"817","D","0.169537066","-1.66167656799417","trough"
"818","D","0.160418271","-1.73132425799204","trough"
"819","D","0.1488845","-1.82458598931154","trough"
"820","D","0.15921639","-1.74076028463539","trough"
"821","D","0.154695255","-1.77682799121601","trough"
"822","D","0.158748734","-1.74444881122213","trough"
"823","D","0.153047758","-1.79020364355885","trough"
"824","D","0.189693207","-1.51842741690812","trough"
"825","D","0.135534606","-1.94103125576752","trough"
"826","D","0.16671008","-1.68291333943544","trough"
"827","D","0.157788878","-1.7520495365633","trough"
"828","D","0.179445679","-1.58956093691977","trough"
"829","D","0.195528552","-1.47933058345231","trough"
"830","D","0.208350456","-1.39663608888372","trough"
"831","D","0.171958644","-1.64372643140842","trough"
"832","D","0.179714287","-1.58765351564331","trough"
"833","D","0.198068258","-1.4626113036495","trough"
"834","D","0.166359085458261","-1.68557175540129","trough"
"835","D","0.167662487272282","-1.67572418870913","trough"
"836","D","0.169995086572029","-1.65826463530179","trough"
"837","D","0.171880918689695","-1.64429919706945","trough"
"838","D","0.210292718803361","-1.3844658716515","trough"
"839","D","0.354820649755606","-0.641884589242544","trough"
"840","D","0.348797416709944","-0.668657934985733","trough"
"841","D","0.225920600233495","-1.28959954184055","trough"
"842","D","0.266807337679939","-1.06262916943403","trough"
"843","D","0.217735857035609","-1.33862749548099","trough"
"844","E","1","4.59511985013459","peak"
"845","E","1","4.59511985013459","peak"
"846","E","1","4.59511985013459","peak"
"847","E","1","4.59511985013459","peak"
"848","E","1","4.59511985013459","peak"
"849","E","1","4.59511985013459","peak"
"850","E","0.962496683","2.99828708439866","peak"
"851","E","1","4.59511985013459","peak"
"852","E","0.85117405","1.66698964600446","peak"
"853","E","0.631528284","0.496040075633906","peak"
"854","E","0.991","3.94413348039892","peak"
"855","E","0.940853159","2.59986916711452","peak"
"856","E","0.477727681","-0.129268987840737","peak"
"857","E","1","4.59511985013459","peak"
